DwellingData_id,MPRN,Dwelling Address,Dwelling AddressLine1,Dwelling AddressLine2,Dwelling AddressLine3,Dwelling AddressLine4,Dwelling AddressLine5,Dwelling County,Dwelling PostCode,MPRN Address,MPRN unit no,MPRN house no,MPRN street,MPRN address1,MPRN address2,MPRN address4,MPRN address5,MPRN city,MPRN county,MPRN county name,Status,Percent_Match,BUILDING_ID,ADDRESS_REFERENCE,EIRCODE,SMALL_AREA_REF,Geo_Address,LATITUDE,LONGITUDE
30299.0,10001424294.0,NO 5 KILLARNEY COURT KILLARNEY STREET DUBLIN 1 ,5 KILLARNEY COURT,KILLARNEY STREET,,,,7.0,,5 KILLARNEY COURT BLOCK B DUBLIN 1 DB,,5,KILLARNEY COURT,BLOCK B,,,,DUBLIN 1,DUBLIN,,SAME_SA,,,,,268104002,,,
23753.0,10001396898.0,508 IRISH LIFE CENTRE LOWER ABBEY STREET DUBLIN 1 DUBLIN 1 ,508 IRISH LIFE CENTRE,LOWER ABBEY STREET,DUBLIN 1,,,7.0,,508 IRISH LIFE CENTRE LOWER ABBEY ST DUBLIN 1 DB,,508,IRISH LIFE CENTRE,,,LOWER ABBEY STREET,,DUBLIN 1,DUBLIN,,,,,,,,,,
21979.0,10001456071.0,11 OBRIEN HALL LOWER GARDINER STREET DUBLIN 1 ,11 O BRIEN HALL,LOWER GARDINER STREET,,,,7.0,,11 O'BRIEN HALL LOWER GARDINER ST DUBLIN 1 DB,,11,O'BRIEN HALL,,,LOWER GARDINER STREET,,DUBLIN 1,DUBLIN,,,,,,,,,,
14410.0,10000705656.0,FLAT 86 MOYHOUSE MAYOR STREET DUBLIN 1 D1,FLAT 86,MOYHOUSE,MAYOR STREET,,,7.0,D1,86 MOY HOUSE MAYOR ST DUBLIN 1 DB,,86,MOY HOUSE,,,MAYOR STREET,,DUBLIN 1,DUBLIN,,MATCH_Fuzzy,56,35754504,3575450435754520,D01ND29,268109010,86 MOY HOUSE CUSTOM HOUSE SQUARE MAYOR STREET LOWER I.F.S.C. DUBLIN 1 D01ND29    ,53.3497234636081,-6.241950242291268
29996.0,10001456768.0,APT 66 GRESHEM HOUSE DUBLIN 1 ,APARTMENT 66,GRESHEM HOUSE,,,,7.0,,66 GRESHAM HOUSE DUBLIN 1 DB,,66,GRESHAM HOUSE,,,,,DUBLIN 1,DUBLIN,,MATCH_Fuzzy,81,60134102,6013410260134806,D01TW60,268108017/01,APARTMENT 66 PAKENHAM HOUSE SPENCER DOCK DUBLIN 1 D01TW60     ,53.35005389289479,-6.23776666746644
30407.0,10001339813.0,APARTMENT 11 HENRIETTA STREET DUBLIN 1 ,APARTMENT 11,HENRIETTA STREET,,,,7.0,,APARTMENT 11 HENRIETTA STREET DUBLIN 1 DB,APARTMENT,11,HENRIETTA STREET,,,,,DUBLIN 1,DUBLIN,,MANY RESULTS,,,,,,,,
30409.0,10001339792.0,GATE LODGE HENRIETTA STREET KINGS INN DUBLIN 1 ,GATE LODGE,HENRIETTA STREET,KINGS INN,,,7.0,,HENRIETTA STREET GATE LODGE KINGS INN DUBLIN 1 DB,,,HENRIETTA STREET,GATE LODGE,KINGS INN,,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
13694.0,10001405355.0,SECOND FLOOR FRONT APT 3 6 TALBOT STR DUBLIN 1 D1,SECOND FLOOR FRONT,APARTMENT 3 6 TALBOT STR,,,,7.0,D1,APT 3 6 TALBOT STREET SECOND FLOOR FRONT DUBLIN 1 DB,APARTMENT 3,6,TALBOT STREET,SECOND FLOOR FRONT,,,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
13672.0,10001405348.0,FIRST FLOOR REAR APT 2 6 TALBOT ST DUBLIN 1 ,FIRST FLOOR REAR,APARTMENT 2 6 TALBOT STREET,,,,7.0,,APT 2 6 TALBOT STREET FIRST FLOOR REAR DUBLIN 1 DB,APARTMENT 2,6,TALBOT STREET,FIRST FLOOR REAR,,,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
13719.0,10001405367.0,SECOND FLOOR REAR APT 4 6 TALBOT ST DUBLIN 1 ,SECOND FLOOR REAR,APARTMENT 4 6 TALBOT STREET,,,,7.0,,APT 4 6 TALBOT STREET SECOND FLOOR REAR DUBLIN 1 DB,APARTMENT 4,6,TALBOT STREET,SECOND FLOOR REAR,,,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
